<X> <Y>
8.337590000000000e-02 9.581672847896997e-03
8.400000000000001e-02 8.819607305109313e-03
8.462409999999999e-02 8.126649722065844e-03
8.524809999999999e-02 7.499300752111021e-03
8.587220000000000e-02 6.933836886058488e-03
8.649620000000000e-02 6.426992976630175e-03
8.712030000000000e-02 5.975237992719191e-03
8.774440000000000e-02 5.575370155211480e-03
8.836840000000000e-02 5.224238476229709e-03
8.899250000000000e-02 4.918613755846038e-03
8.961650000000000e-02 4.655566489210261e-03
9.024060000000000e-02 4.432074708497827e-03
9.086470000000001e-02 4.245337913543908e-03
9.148870000000001e-02 4.092625460580515e-03
9.211279999999999e-02 3.971230794184844e-03
9.273679999999999e-02 3.878631209912041e-03
9.336090000000000e-02 3.812330994327894e-03
9.398500000000000e-02 3.769977435890602e-03
9.460900000000000e-02 3.749299242933806e-03
9.523310000000000e-02 3.748113898155049e-03
9.585710000000000e-02 3.764342935554952e-03
9.648120000000000e-02 3.796008475236078e-03
9.710530000000001e-02 3.841221551885920e-03
9.772930000000001e-02 3.898179367571872e-03
9.835339999999999e-02 3.965201525635936e-03
9.897739999999999e-02 4.040661064991243e-03
9.960150000000000e-02 4.123067911702678e-03
1.002260000000000e-01 4.211044142004763e-03
1.008500000000000e-01 4.303125682507854e-03
1.014740000000000e-01 4.398132876794627e-03
1.020980000000000e-01 4.494902739549381e-03
1.027220000000000e-01 4.592355453050185e-03
1.033460000000000e-01 4.689492343618470e-03
1.039700000000000e-01 4.785393761039130e-03
1.045940000000000e-01 4.879216869588732e-03
1.052180000000000e-01 4.970193359247223e-03
1.058420000000000e-01 5.057627085585524e-03
1.064660000000000e-01 5.140891646718624e-03
1.070900000000000e-01 5.219427905591626e-03
1.077140000000000e-01 5.292741465726059e-03
1.083380000000000e-01 5.360400108396022e-03
1.089620000000000e-01 5.422031199029803e-03
1.095860000000000e-01 5.477319070442924e-03
1.102110000000000e-01 5.526074988903172e-03
1.108350000000000e-01 5.567933056813952e-03
1.114590000000000e-01 5.602816127583656e-03
1.120830000000000e-01 5.630610099218537e-03
1.127070000000000e-01 5.651244652750948e-03
1.133310000000000e-01 5.664690643903073e-03
1.139550000000000e-01 5.670957518432763e-03
1.145790000000000e-01 5.670090756812320e-03
1.152030000000000e-01 5.662169353607011e-03
1.158270000000000e-01 5.647303336630691e-03
1.164510000000000e-01 5.625631330662101e-03
1.170750000000000e-01 5.597318170208091e-03
1.176990000000000e-01 5.562552565500121e-03
1.183230000000000e-01 5.521544825609173e-03
