<X> <Y>
9.772930000000001e-02 3.707597078079289e-03
9.835339999999999e-02 3.765750101525642e-03
9.897739999999999e-02 3.832708297803862e-03
9.960150000000000e-02 3.907017934680054e-03
1.002260000000000e-01 3.987334752957276e-03
1.008500000000000e-01 4.072240488056654e-03
1.014740000000000e-01 4.160581755851032e-03
1.020980000000000e-01 4.251225797760412e-03
1.027220000000000e-01 4.343120576696340e-03
1.033460000000000e-01 4.435292677700375e-03
1.039700000000000e-01 4.526845121933514e-03
1.045940000000000e-01 4.616955102752651e-03
1.052180000000000e-01 4.704871652509600e-03
1.058420000000000e-01 4.789913248586740e-03
1.064660000000000e-01 4.871465367042776e-03
1.070900000000000e-01 4.948977992082464e-03
1.077140000000000e-01 5.021963089387001e-03
1.083380000000000e-01 5.089992051148109e-03
1.089620000000000e-01 5.152693120439394e-03
1.095860000000000e-01 5.209748802334684e-03
1.102110000000000e-01 5.260970364673323e-03
1.108350000000000e-01 5.305976891841333e-03
1.114590000000000e-01 5.344684943147875e-03
1.120830000000000e-01 5.376968231823940e-03
1.127070000000000e-01 5.402741827893249e-03
1.133310000000000e-01 5.421959631330627e-03
1.139550000000000e-01 5.434611876585285e-03
1.145790000000000e-01 5.440722673696032e-03
1.152030000000000e-01 5.440347590920230e-03
1.158270000000000e-01 5.433571283489591e-03
1.164510000000000e-01 5.420505172794559e-03
1.170750000000000e-01 5.401285179986303e-03
1.176990000000000e-01 5.376069517671928e-03
1.183230000000000e-01 5.345036543065626e-03
1.189470000000000e-01 5.308382675647099e-03
1.195710000000000e-01 5.266320382069248e-03
1.201950000000000e-01 5.219076230751137e-03
1.208200000000000e-01 5.166801550003129e-03
1.214440000000000e-01 5.109913183974484e-03
1.220680000000000e-01 5.048589329446823e-03
1.226920000000000e-01 4.983094980052514e-03
1.233160000000000e-01 4.913700611388917e-03
1.239400000000000e-01 4.840680688470046e-03
1.245640000000000e-01 4.764312251779819e-03
1.251880000000000e-01 4.684873582120845e-03
1.258120000000000e-01 4.602642944207788e-03
1.264360000000000e-01 4.517897408720020e-03
1.270600000000000e-01 4.430911752302831e-03
1.276840000000000e-01 4.341957434792912e-03
1.283080000000000e-01 4.251301652739674e-03
1.289320000000000e-01 4.159206468102039e-03
1.295560000000000e-01 4.065928010818847e-03
1.301800000000000e-01 3.971715753781620e-03
1.308050000000000e-01 3.876659340460351e-03
1.314290000000000e-01 3.781297522726573e-03
1.320530000000000e-01 3.685704537094514e-03
1.326770000000000e-01 3.590097351476009e-03
1.333010000000000e-01 3.494683675150422e-03
1.339250000000000e-01 3.399661629316228e-03
1.345490000000000e-01 3.305219475971895e-03
1.351730000000000e-01 3.211535402717709e-03
1.357970000000000e-01 3.118777361004834e-03
1.364210000000000e-01 3.027102955303760e-03
1.370450000000000e-01 2.936659380620781e-03
1.376690000000000e-01 2.847583405758350e-03
1.382930000000000e-01 2.760001399692273e-03
1.389170000000000e-01 2.674029398426084e-03
1.395410000000000e-01 2.589773209679680e-03
1.401650000000000e-01 2.507328552775042e-03
1.407890000000000e-01 2.426781231096940e-03
1.414140000000000e-01 2.348083035541034e-03
1.420380000000000e-01 2.271552488070350e-03
1.426620000000000e-01 2.197119433920162e-03
1.432860000000000e-01 2.124832284454369e-03
1.439100000000000e-01 2.054730796791795e-03
1.445340000000000e-01 1.986846388504471e-03
1.451580000000000e-01 1.921202467595057e-03
1.457820000000000e-01 1.857814775514884e-03
1.464060000000000e-01 1.796691741058385e-03
1.470300000000000e-01 1.737834843048463e-03
1.476540000000000e-01 1.681238979809762e-03
1.482780000000000e-01 1.626892843512766e-03
1.489020000000000e-01 1.574779297560386e-03
1.495260000000000e-01 1.524875755280025e-03
1.501500000000000e-01 1.477154558277274e-03
1.507740000000000e-01 1.431583352902374e-03
1.513980000000000e-01 1.388125463376381e-03
1.520230000000000e-01 1.346675578020147e-03
1.526470000000000e-01 1.307322054007933e-03
1.532710000000000e-01 1.269949460627090e-03
1.538950000000000e-01 1.234507448252375e-03
1.545190000000000e-01 1.200943117115160e-03
1.551430000000000e-01 1.169201345277629e-03
1.557670000000000e-01 1.139225105795470e-03
1.563910000000000e-01 1.110955772378795e-03
1.570150000000000e-01 1.084333412950558e-03
1.576390000000000e-01 1.059297070588890e-03
1.582630000000000e-01 1.035785031424485e-03
1.588870000000000e-01 1.013735079146054e-03
1.595110000000000e-01 9.930847358458866e-04
1.601350000000000e-01 9.737714890133198e-04
1.607590000000000e-01 9.557330045565328e-04
1.613830000000000e-01 9.389073258020954e-04
1.620080000000000e-01 9.232088309597852e-04
1.626320000000000e-01 9.086270140650966e-04
1.632560000000000e-01 8.950760827772518e-04
1.638800000000000e-01 8.824973032105231e-04
1.645040000000000e-01 8.708331063706338e-04
1.651280000000000e-01 8.600272053475525e-04
1.657520000000000e-01 8.500246997573867e-04
1.663760000000000e-01 8.407721678010563e-04
1.670000000000000e-01 8.322177463422522e-04
1.676240000000000e-01 8.243111994382533e-04
1.682480000000000e-01 8.170039757844138e-04
1.688720000000000e-01 8.102492555567011e-04
1.694960000000000e-01 8.040019871565538e-04
1.701200000000000e-01 7.982189143787390e-04
1.707440000000000e-01 7.928585945358135e-04
1.713680000000000e-01 7.878814080824344e-04
1.719920000000000e-01 7.832495602891951e-04
1.726170000000000e-01 7.789203782076848e-04
1.732410000000000e-01 7.748735019015899e-04
1.738650000000000e-01 7.710693875878056e-04
1.744890000000000e-01 7.674774196796633e-04
1.751130000000000e-01 7.640687157826842e-04
1.757370000000000e-01 7.608160921949866e-04
1.763610000000000e-01 7.576940252475782e-04
1.769850000000000e-01 7.546786089881534e-04
1.776090000000000e-01 7.517475096964658e-04
1.782330000000000e-01 7.488799177021737e-04
1.788570000000000e-01 7.460564969574565e-04
1.794810000000000e-01 7.432593327968063e-04
1.801050000000000e-01 7.404718782954183e-04
1.807290000000000e-01 7.376788996156689e-04
1.813530000000000e-01 7.348664207084792e-04
1.819770000000000e-01 7.320216677130347e-04
1.826020000000000e-01 7.291283431039267e-04
1.832260000000000e-01 7.261851563724921e-04
1.838500000000000e-01 7.231780186971903e-04
1.844740000000000e-01 7.200984151494602e-04
1.850980000000000e-01 7.169387607231461e-04
1.857220000000000e-01 7.136923487942076e-04
1.863460000000000e-01 7.103533010100686e-04
1.869700000000000e-01 7.069165187608374e-04
1.875940000000000e-01 7.033776363620937e-04
1.882180000000000e-01 6.997329760570458e-04
1.888420000000000e-01 6.959795049247379e-04
1.894660000000000e-01 6.921147937606990e-04
1.900900000000000e-01 6.881369779770346e-04
1.907140000000000e-01 6.840447205505681e-04
1.913380000000000e-01 6.798371770302217e-04
1.919620000000000e-01 6.755139625985591e-04
1.925860000000000e-01 6.710751211671867e-04
1.932110000000000e-01 6.665137063024937e-04
1.938350000000000e-01 6.618451325146050e-04
1.944590000000000e-01 6.570633586206452e-04
1.950830000000000e-01 6.521698741184379e-04
1.957070000000000e-01 6.471664715594833e-04
1.963310000000000e-01 6.420552267202732e-04
1.969550000000000e-01 6.368384803383924e-04
1.975790000000000e-01 6.315188213139832e-04
1.982030000000000e-01 6.260990712725273e-04
1.988270000000000e-01 6.205822703814270e-04
1.994510000000000e-01 6.149716643104461e-04
2.000750000000000e-01 6.092706922246826e-04
2.006990000000000e-01 6.034829756983845e-04
2.013230000000000e-01 5.976123084384630e-04
2.019470000000000e-01 5.916626467080370e-04
2.025710000000000e-01 5.856381003426165e-04
2.031950000000000e-01 5.795429242546520e-04
2.038200000000000e-01 5.733715855091628e-04
2.044440000000000e-01 5.671483595645469e-04
2.050680000000000e-01 5.608680669224499e-04
2.056920000000000e-01 5.545354643735181e-04
2.063160000000000e-01 5.481554152731358e-04
2.069400000000000e-01 5.417328820419598e-04
2.075640000000000e-01 5.352729185639558e-04
2.081880000000000e-01 5.287806624230876e-04
2.088120000000000e-01 5.222613269271447e-04
2.094360000000000e-01 5.157201928746394e-04
2.100600000000000e-01 5.091626000282692e-04
2.106840000000000e-01 5.025939382660138e-04
2.113080000000000e-01 4.960196383884938e-04
2.119320000000000e-01 4.894451625686905e-04
2.125560000000000e-01 4.828759944374606e-04
2.131800000000000e-01 4.763176288054200e-04
2.138050000000000e-01 4.697650929651657e-04
2.144290000000000e-01 4.632448472694607e-04
2.150530000000000e-01 4.567518562830845e-04
2.156770000000000e-01 4.502915498189901e-04
2.163010000000000e-01 4.438693124938607e-04
2.169250000000000e-01 4.374904716460740e-04
2.175490000000000e-01 4.311602850698046e-04
2.181730000000000e-01 4.248839286114490e-04
2.187970000000000e-01 4.186664836783400e-04
2.194210000000000e-01 4.125129247129827e-04
2.200450000000000e-01 4.064281066888210e-04
2.206690000000000e-01 4.004167526857817e-04
2.212930000000000e-01 3.944834416055762e-04
2.219170000000000e-01 3.886325960879292e-04
2.225410000000000e-01 3.828684706896076e-04
2.231650000000000e-01 3.771951403882592e-04
2.237890000000000e-01 3.716164894727672e-04
2.244140000000000e-01 3.661274991973854e-04
2.250380000000000e-01 3.607492102247448e-04
2.256620000000000e-01 3.554760103681899e-04
2.262860000000000e-01 3.503109195192282e-04
2.269100000000000e-01 3.452567191922152e-04
2.275340000000000e-01 3.403159449517250e-04
2.281580000000000e-01 3.354908796098078e-04
2.287820000000000e-01 3.307835472360081e-04
2.294060000000000e-01 3.261957080190026e-04
2.300300000000000e-01 3.217288540144214e-04
2.306540000000000e-01 3.173842058089106e-04
2.312780000000000e-01 3.131627101257274e-04
2.319020000000000e-01 3.090650383922825e-04
2.325260000000000e-01 3.050915862849733e-04
2.331500000000000e-01 3.012424742615194e-04
2.337740000000000e-01 2.975175490857739e-04
2.343980000000000e-01 2.939163863447468e-04
2.350230000000000e-01 2.904328183816272e-04
2.356470000000000e-01 2.870770358498504e-04
2.362710000000000e-01 2.838421532059629e-04
2.368950000000000e-01 2.807267056440546e-04
2.375190000000000e-01 2.777289842873000e-04
2.381430000000000e-01 2.748470443636667e-04
2.387670000000000e-01 2.720787142287652e-04
2.393910000000000e-01 2.694216051961954e-04
2.400150000000000e-01 2.668731221315857e-04
2.406390000000000e-01 2.644304747626546e-04
2.412630000000000e-01 2.620906896540072e-04
2.418870000000000e-01 2.598506227920850e-04
2.425110000000000e-01 2.577069727226891e-04
2.431350000000000e-01 2.556562941808486e-04
2.437590000000000e-01 2.536950121504816e-04
2.443830000000000e-01 2.518194362893424e-04
2.450080000000000e-01 2.500229648738090e-04
2.456320000000000e-01 2.483074647830662e-04
2.462560000000000e-01 2.466660498360306e-04
2.468800000000000e-01 2.450947175274354e-04
2.475040000000000e-01 2.435894253051070e-04
2.481280000000000e-01 2.421461057680897e-04
2.487520000000000e-01 2.407606817543161e-04
2.493760000000000e-01 2.394290812508682e-04
2.500000000000000e-01 2.381472520612055e-04
