<X> <Y>
5.716540000000000e-02 1.545789869763621e-01
5.778950000000000e-02 1.475624940030666e-01
5.841350000000000e-02 1.407534008612101e-01
5.903760000000000e-02 1.341487283111563e-01
5.966170000000000e-02 1.277485568058910e-01
6.028570000000000e-02 1.215526128395434e-01
6.090980000000000e-02 1.155574451132697e-01
6.153380000000000e-02 1.097633022263080e-01
6.215790000000000e-02 1.041664545224503e-01
6.278200000000000e-02 9.876578226649899e-02
6.340600000000000e-02 9.355985688692578e-02
6.403010000000001e-02 8.854458796146078e-02
6.465410000000001e-02 8.371899521089669e-02
6.527819999999999e-02 7.907878638832043e-02
6.590230000000000e-02 7.462185506790907e-02
6.652630000000000e-02 7.034583728083021e-02
6.715040000000000e-02 6.624619663792039e-02
6.777440000000000e-02 6.232095922495251e-02
6.839850000000000e-02 5.856546483093818e-02
6.902260000000000e-02 5.497684878856757e-02
6.964660000000000e-02 5.155204327421203e-02
7.027070000000001e-02 4.828625974920882e-02
7.089470000000000e-02 4.517677580044360e-02
7.151879999999999e-02 4.221875461127055e-02
7.214290000000000e-02 3.940880417636813e-02
7.276690000000000e-02 3.674338390779120e-02
7.339100000000000e-02 3.421763810146546e-02
7.401500000000000e-02 3.182833811926469e-02
7.463910000000000e-02 2.957064961623353e-02
7.526320000000000e-02 2.744087525093502e-02
7.588720000000000e-02 2.543522126958286e-02
7.651130000000000e-02 2.354893279147726e-02
7.713530000000000e-02 2.177850313044083e-02
7.775940000000001e-02 2.011925968898818e-02
7.838349999999999e-02 1.856740321461650e-02
7.900749999999999e-02 1.711908564785801e-02
7.963160000000000e-02 1.576979745684613e-02
8.025560000000000e-02 1.451595876099521e-02
8.087970000000000e-02 1.335319246538242e-02
8.150380000000000e-02 1.227777464995447e-02
8.212780000000000e-02 1.128597397225250e-02
8.275190000000000e-02 1.037364276412310e-02
8.337590000000000e-02 9.537302584061503e-03
8.400000000000001e-02 8.772976327308139e-03
8.462409999999999e-02 8.077161161469009e-03
8.524809999999999e-02 7.446380883462902e-03
8.587220000000000e-02 6.876935653846029e-03
